word,phonetic,count,translation
amok,ә'mɔk,2,"adv. 乱砍乱杀, 杀气腾腾地横冲直撞\n[医] [抑郁后暴发]杀人狂"
avenues,"'ævə,njʊ",2,n. 林阴道( avenue的复数形式 ); 大街; 途径; 手段
escaped,,2,"v. 避开；泄出；逃离, 逃脱（escape的过去式, 过去分词）"
gauntlet,'gɒ:ntlit,2,"n. 铁手套, 长手套, 夹击\n[医] 手套形绷带"
helm,helm,2,"n. 舵, 驾驶盘, 枢机, 头盔\nvt. 给...掌舵, 指挥, 给...戴头盔"
opening,'әupәniŋ,2,"n. 开始, 口子, 穴, 揭幕\na. 开始的"
rear,riә,2,"n. 后面, 背后, 后方\na. 后面的, 背面的, 后方的\nvt. 养育, 培养, 饲养, 举起, 树立, 栽种\nvi. 高耸, 暴跳"
route,ru:t,2,"n. 路径, 途径, 路线\nvt. 确定路线, 按规定路线发送\n[计] 传递, 路由设定程序"
shoe,ʃu:,2,"n. 鞋, 靴, 外胎\nvt. 给...穿鞋, 为马钉蹄铁"
a-shopping,,1,
absent,'æbsәnt,1,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席"
absent-minded,'æbsәnt'maindid,1,"a. 心不在焉的, 健忘的"
abstraction,æb'strækʃәn,1,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品\n[化] 提取; 抽取; 夺取; 夺取反应; 除去"
affecting,ә'fektiŋ,1,"a. 感人的, 动人的"
allure,ә'luә,1,"vt. 引诱, 吸引\nn. 魅力, 诱惑力"
amuse,ә'mju:z,1,"vt. 消遣, 娱乐, 使发笑"
ante,'ænti,1,n. 赌注\nv. 下赌注
aroused,,1,唤醒
astabat,,1,
astray,ә'strei,1,"adv. 迷途地, 入歧途地\n[法] 误入歧途地, 离开正道地"
barber,'bɑ:bә,1,n. 理发师
beacons,ˈbi:kənz,1,n. 灯塔( beacon的名词复数 ); 烽火; 指路明灯; 无线电台或发射台
bear-,,1,
beechen,'bi:tʃәn,1,a. 山毛榉制的
bella,'belә,1,"n. 贝拉（女子名, 等于Arabella, Isabella）"
bends,,1,"[医] 减压病(尤指减压痛,即因空气栓塞所致的四肢关节、肌肉和腹腔的剧痛)"
besides,bi'saidz,1,"prep. 除...之外\nadv. 而且, 此外"
boldly,'bәuldli,1,"adv. 大胆地, 显眼地"
bolted,,1,"a. 用螺栓栓的；脱离的, 分开的"
bowls,,1,n. 滚木球戏
buttonwoods,,1,
cape,keip,1,"n. 岬, 海角, 披肩, 斗蓬"
carts,,1,n. 购物车；手推车
caryatides,'kæri'ætidi:z,1,n. 女像柱( caryatid的名词复数 )
coarsest,,1,a. 粗的( coarse的最高级 ); 粗糙的; 粗野的; 粗鲁的
cobbler,'kɒblә,1,"n. 皮匠, 补鞋匠, 笨工匠"
commodity,kә'mɒditi,1,"n. 农产品, 商品, 有用的物品\n[经] 商品, 货物, 日用品"
communities,,1,"n. 社区；团体, 群体（community的复数形式）"
conduct,"'kɔndʌkt, -dәkt",1,"n. 行为, 举动, 指导\nvt. 为人, 指挥, 管理, 实施\nvi. 领导, 传导, 指挥"
constrain,kәn'strein,1,"vt. 强迫, 限制, 关押"
coves,kəʊvz,1,n. 小海湾( cove的复数形式 ); <俚>家伙
cow-paths,,1,
cracked,krækt,1,"a. 破碎的, 破裂的, 声音嘶哑的\n[建] 有裂缝的, 裂化的"
crew,kru:,1,"n. 全体人员, 一群人, 全体队员\ncrow的过去式"
dangers,ˈdeindʒəz,1,n. 危险( danger的复数形式 ); 可能造成损伤、疼痛等的人或物; 危险因素; 危害
dapes,,1,
digested,daiˈdʒestid,1,v. 消化( digest的过去式和过去分词 ); 透彻了解
digestive,di'dʒestiv,1,"a. 消化的, 助消化的\nn. 助消化药"
distressed,di'strest,1,"a. 痛苦的, 哀伤的"
doses,,1,v. 服药（dose的三单形式）
drenched,drentʃd,1,a. 湿透的; 充满的\nv. 使湿透( drench的过去式和过去分词 ); 在某人（某物）上大量使用（某液体）
dum,,1,"[法] 期间内, 只要, 规定为..."
elms,,1,n. 榆树
employ,im'plɒi,1,"n. 雇用\nvt. 雇用, 使用, 使从事于"
emptied,'emptid,1,a. 耗尽的；已清除的
encountered,,1,v. 遇到；曾遭遇（encounter的过去式）
etesian,,1,
ether,'i:θә,1,"n. 醚, 苍天, 以太\n[化] 醚; 以太"
faginus,,1,
fastened,ˈfɑ:sənd,1,v. （使两物）系牢( fasten的过去式和过去分词 ); 系紧; 使牢固; （使）关紧
feature,'fi:tʃә,1,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写\nvt. 是...的特色, 特写, 放映\nvi. 起重要作用\n[计] 特性"
file,fail,1,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀\nvi. 列队行进, 用锉刀做\nvt. 归档, 申请, 锉, 琢磨\n[计] 文件"
fire-engine,,1,[化] 消防车
fishing,'fiʃiŋ,1,"n. 钓鱼, 鱼业\na. 钓鱼的"
forcibly,'fɒ:sәbli,1,"adv. 强制地, 用力地"
fuerunt,,1,
gap,gæp,1,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序\nvt. 打开缺口, 造成缝隙\nvi. 豁开\n[计] 通用汇编程序, 图形应用程序, 间距"
gaps,,1,"n. 差异, 缺口；缝隙（gap的复数形式）"
gilded,'gildid,1,"a. 镀金的, 有钱的, 装饰的\ngild的过去式和过去分词"
glancing,'glɑ:nsiŋ,1,"a. 斜的, 附带的, 随便的"
goal,gәul,1,"n. 目标, 终点, 得分, 球门, 守门员\nvi. 攻门, 射门得分"
goods,guds,1,"n. 货物\n[经] 货物, 商品, 动产"
govern,'gʌvәn,1,"v. 统治, 支配, 管理"
gracefulness,,1,"n. 温文, 优雅；优美"
grass-,,1,
gun,gʌn,1,n. 枪\n[医] 枪
hatches,,1,n. 出生、订婚、结婚和死亡栏
headlands,ˈhedləndz,1,"n. 向水中突出的陆地, 畦头未耕的一条地, 岬( headland的复数形式 )"
homeopathic,"'hәumiәu,pæθik",1,[医] 顺势医疗的
hoppers,'hɒpəz,1,n. 加料斗( hopper的复数形式 )
improperly,,1,[计] 不适当地
incessantly,ɪn'sesntlɪ,1,"adv. 不断地, 不停地; 接连不断; 连绵不断; 不已"
inhaling,,1,n. 吸气；吸入
insensibility,in.sensә'biliti,1,"n. 无感觉, 不在乎, 不关心\n[化] 不灵敏性"
invariably,in'vєәriәbli,1,"adv. 不变化地, 恒定地, 始终如一地"
irruption,i'rʌpʃ(ә)n,1,"n. 侵入, 闯进, 激剧繁殖"
jeweller,'dʒu:әlә(r),1,"n. 宝石商, 宝石匠, 珠宝商"
kernels,,1,"n. 核心程序, 核心（kernel的复数形式）"
